country;countryCode;department;province;district;geoLocation
PE;9589;Amazonas;;;010000
PE;9589;Amazonas;Chachapoyas;;010100
PE;9589;Amazonas;Chachapoyas;Chachapoyas;010101
PE;9589;Amazonas;Chachapoyas;Asunción;010102
PE;9589;Amazonas;Chachapoyas;Balsas;010103
PE;9589;Amazonas;Chachapoyas;Cheto;010104
PE;9589;Amazonas;Chachapoyas;Chiliquin;010105
PE;9589;Amazonas;Chachapoyas;Chuquibamba;010106
PE;9589;Amazonas;Chachapoyas;Granada;010107
PE;9589;Amazonas;Chachapoyas;Huancas;010108
PE;9589;Amazonas;Chachapoyas;LaJalca;010109
PE;9589;Amazonas;Chachapoyas;Leimebamba;010110
PE;9589;Amazonas;Chachapoyas;Levanto;010111
PE;9589;Amazonas;Chachapoyas;Magdalena;010112
PE;9589;Amazonas;Chachapoyas;MariscalCastilla;010113
PE;9589;Amazonas;Chachapoyas;Molinopampa;010114
PE;9589;Amazonas;Chachapoyas;Montevideo;010115
PE;9589;Amazonas;Chachapoyas;Olleros;010116
PE;9589;Amazonas;Chachapoyas;Quinjalca;010117
PE;9589;Amazonas;Chachapoyas;SanFranciscodeDaguas;010118
PE;9589;Amazonas;Chachapoyas;SanIsidrodeMaino;010119
PE;9589;Amazonas;Chachapoyas;Soloco;010120
PE;9589;Amazonas;Chachapoyas;Sonche;010121
PE;9589;Amazonas;Bagua;;010200
PE;9589;Amazonas;Bagua;Bagua;010201
PE;9589;Amazonas;Bagua;Aramango;010202
PE;9589;Amazonas;Bagua;Copallin;010203
PE;9589;Amazonas;Bagua;ElParco;010204
PE;9589;Amazonas;Bagua;Imaza;010205
PE;9589;Amazonas;Bagua;LaPeca;010206
PE;9589;Amazonas;Bongará;;010300
PE;9589;Amazonas;Bongará;Jumbilla;010301
PE;9589;Amazonas;Bongará;Chisquilla;010302
PE;9589;Amazonas;Bongará;Churuja;010303
PE;9589;Amazonas;Bongará;Corosha;010304
PE;9589;Amazonas;Bongará;Cuispes;010305
PE;9589;Amazonas;Bongará;Florida;010306
PE;9589;Amazonas;Bongará;Jazan;010307
PE;9589;Amazonas;Bongará;Recta;010308
PE;9589;Amazonas;Bongará;SanCarlos;010309
PE;9589;Amazonas;Bongará;Shipasbamba;010310
PE;9589;Amazonas;Bongará;Valera;010311
PE;9589;Amazonas;Bongará;Yambrasbamba;010312
PE;9589;Amazonas;Condorcanqui;;010400
PE;9589;Amazonas;Condorcanqui;Nieva;010401
PE;9589;Amazonas;Condorcanqui;ElCenepa;010402
PE;9589;Amazonas;Condorcanqui;RíoSantiago;010403
PE;9589;Amazonas;Luya;;010500
PE;9589;Amazonas;Luya;Lamud;010501
PE;9589;Amazonas;Luya;Camporredondo;010502
PE;9589;Amazonas;Luya;Cocabamba;010503
PE;9589;Amazonas;Luya;Colcamar;010504
PE;9589;Amazonas;Luya;Conila;010505
PE;9589;Amazonas;Luya;Inguilpata;010506
PE;9589;Amazonas;Luya;Longuita;010507
PE;9589;Amazonas;Luya;LonyaChico;010508
PE;9589;Amazonas;Luya;Luya;010509
PE;9589;Amazonas;Luya;LuyaViejo;010510
PE;9589;Amazonas;Luya;María;010511
PE;9589;Amazonas;Luya;Ocalli;010512
PE;9589;Amazonas;Luya;Ocumal;010513
PE;9589;Amazonas;Luya;Pisuquia;010514
PE;9589;Amazonas;Luya;Providencia;010515
PE;9589;Amazonas;Luya;SanCristóbal;010516
PE;9589;Amazonas;Luya;SanFranciscodeYeso;010517
PE;9589;Amazonas;Luya;SanJerónimo;010518
PE;9589;Amazonas;Luya;SanJuandeLopecancha;010519
PE;9589;Amazonas;Luya;SantaCatalina;010520
PE;9589;Amazonas;Luya;SantoTomas;010521
PE;9589;Amazonas;Luya;Tingo;010522
PE;9589;Amazonas;Luya;Trita;010523
PE;9589;Amazonas;RodríguezdeMendoza;;010600
PE;9589;Amazonas;RodríguezdeMendoza;SanNicolás;010601
PE;9589;Amazonas;RodríguezdeMendoza;Chirimoto;010602
PE;9589;Amazonas;RodríguezdeMendoza;Cochamal;010603
PE;9589;Amazonas;RodríguezdeMendoza;Huambo;010604
PE;9589;Amazonas;RodríguezdeMendoza;Limabamba;010605
PE;9589;Amazonas;RodríguezdeMendoza;Longar;010606
PE;9589;Amazonas;RodríguezdeMendoza;MariscalBenavides;010607
PE;9589;Amazonas;RodríguezdeMendoza;Milpuc;010608
PE;9589;Amazonas;RodríguezdeMendoza;Omia;010609
PE;9589;Amazonas;RodríguezdeMendoza;SantaRosa;010610
PE;9589;Amazonas;RodríguezdeMendoza;Totora;010611
PE;9589;Amazonas;RodríguezdeMendoza;VistaAlegre;010612
PE;9589;Amazonas;Utcubamba;;010700
PE;9589;Amazonas;Utcubamba;BaguaGrande;010701
PE;9589;Amazonas;Utcubamba;Cajaruro;010702
PE;9589;Amazonas;Utcubamba;Cumba;010703
PE;9589;Amazonas;Utcubamba;ElMilagro;010704
PE;9589;Amazonas;Utcubamba;Jamalca;010705
PE;9589;Amazonas;Utcubamba;LonyaGrande;010706
PE;9589;Amazonas;Utcubamba;Yamon;010707
PE;9589;Áncash;;;020000
PE;9589;Áncash;Huaraz;;020100
PE;9589;Áncash;Huaraz;Huaraz;020101
PE;9589;Áncash;Huaraz;Cochabamba;020102
PE;9589;Áncash;Huaraz;Colcabamba;020103
PE;9589;Áncash;Huaraz;Huanchay;020104
PE;9589;Áncash;Huaraz;Independencia;020105
PE;9589;Áncash;Huaraz;Jangas;020106
